time	V(a0)	V(a1)	V(a2)	V(a3)	V(a4)	V(a5)	V(a6)	V(a7)	V(a8)	V(a9)	V(a10)	V(a11)	V(a12)	V(a13)	V(a14)	V(a15)	V(b0)	V(b1)	V(b2)	V(b3)	V(b4)	V(b5)	V(b6)	V(b7)	V(b8)	V(b9)	V(b10)	V(b11)	V(b12)	V(b13)	V(b14)	V(b15)	V(f0)	V(f1)	V(f2)	V(f3)	V(f4)	V(f5)	V(f6)	V(f7)	V(f8)	V(f9)	V(f10)	V(f11)	V(f12)	V(f13)	V(f14)	V(f15)
2.000000080000810e-002	4.000041e+000	4.000041e+000	4.000041e+000	4.000041e+000	4.000041e+000	4.000041e+000	4.000041e+000	4.000041e+000	4.000041e+000	4.000041e+000	4.000041e+000	4.000041e+000	4.000041e+000	4.000041e+000	4.000041e+000	4.000041e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.431462e-001	1.431462e-001	1.431462e-001	1.431462e-001	1.431462e-001	1.431462e-001	1.431462e-001	1.431462e-001	1.431462e-001	1.431462e-001	1.431462e-001	1.431462e-001	1.431462e-001	1.431462e-001	1.431462e-001	1.431462e-001
2.000000083432891e-002	4.171645e+000	4.171645e+000	4.171645e+000	4.171645e+000	4.171645e+000	4.171645e+000	4.171645e+000	4.171645e+000	4.171645e+000	4.171645e+000	4.171645e+000	4.171645e+000	4.171645e+000	4.171645e+000	4.171645e+000	4.171645e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	7.854974e-002	7.854974e-002	7.854974e-002	7.854974e-002	7.854974e-002	7.854974e-002	7.854974e-002	7.854974e-002	7.854974e-002	7.854974e-002	7.854974e-002	7.854974e-002	7.854974e-002	7.854974e-002	7.854974e-002	7.854974e-002
2.000000087300773e-002	4.365038e+000	4.365038e+000	4.365038e+000	4.365038e+000	4.365038e+000	4.365038e+000	4.365038e+000	4.365038e+000	4.365038e+000	4.365038e+000	4.365038e+000	4.365038e+000	4.365038e+000	4.365038e+000	4.365038e+000	4.365038e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.660274e-002	4.660274e-002	4.660274e-002	4.660274e-002	4.660274e-002	4.660274e-002	4.660274e-002	4.660274e-002	4.660274e-002	4.660274e-002	4.660274e-002	4.660274e-002	4.660274e-002	4.660274e-002	4.660274e-002	4.660274e-002
2.000000091889302e-002	4.594465e+000	4.594465e+000	4.594465e+000	4.594465e+000	4.594465e+000	4.594465e+000	4.594465e+000	4.594465e+000	4.594465e+000	4.594465e+000	4.594465e+000	4.594465e+000	4.594465e+000	4.594465e+000	4.594465e+000	4.594465e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.461939e-002	3.461939e-002	3.461939e-002	3.461939e-002	3.461939e-002	3.461939e-002	3.461939e-002	3.461939e-002	3.461939e-002	3.461939e-002	3.461939e-002	3.461939e-002	3.461939e-002	3.461939e-002	3.461939e-002	3.461939e-002
2.000000096919274e-002	4.845964e+000	4.845964e+000	4.845964e+000	4.845964e+000	4.845964e+000	4.845964e+000	4.845964e+000	4.845964e+000	4.845964e+000	4.845964e+000	4.845964e+000	4.845964e+000	4.845964e+000	4.845964e+000	4.845964e+000	4.845964e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.251505e-002	3.251505e-002	3.251505e-002	3.251505e-002	3.251505e-002	3.251505e-002	3.251505e-002	3.251505e-002	3.251505e-002	3.251505e-002	3.251505e-002	3.251505e-002	3.251505e-002	3.251505e-002	3.251505e-002	3.251505e-002
2.000000100000000e-002	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.214079e-002	3.214079e-002	3.214079e-002	3.214079e-002	3.214079e-002	3.214079e-002	3.214079e-002	3.214079e-002	3.214079e-002	3.214079e-002	3.214079e-002	3.214079e-002	3.214079e-002	3.214079e-002	3.214079e-002	3.214079e-002
2.000000100302550e-002	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.831436e-002	2.831436e-002	2.831436e-002	2.831436e-002	2.831436e-002	2.831436e-002	2.831436e-002	2.831436e-002	2.831436e-002	2.831436e-002	2.831436e-002	2.831436e-002	2.831436e-002	2.831436e-002	2.831436e-002	2.831436e-002
2.000000100907651e-002	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.193392e-002	2.193392e-002	2.193392e-002	2.193392e-002	2.193392e-002	2.193392e-002	2.193392e-002	2.193392e-002	2.193392e-002	2.193392e-002	2.193392e-002	2.193392e-002	2.193392e-002	2.193392e-002	2.193392e-002	2.193392e-002
2.000000102117853e-002	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.351375e-002	1.351375e-002	1.351375e-002	1.351375e-002	1.351375e-002	1.351375e-002	1.351375e-002	1.351375e-002	1.351375e-002	1.351375e-002	1.351375e-002	1.351375e-002	1.351375e-002	1.351375e-002	1.351375e-002	1.351375e-002
2.000000104538257e-002	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.550545e-003	5.550545e-003	5.550545e-003	5.550545e-003	5.550545e-003	5.550545e-003	5.550545e-003	5.550545e-003	5.550545e-003	5.550545e-003	5.550545e-003	5.550545e-003	5.550545e-003	5.550545e-003	5.550545e-003	5.550545e-003
