time	V(a0)	V(a1)	V(a2)	V(a3)	V(a4)	V(a5)	V(a6)	V(a7)	V(a8)	V(a9)	V(a10)	V(a11)	V(a12)	V(a13)	V(a14)	V(a15)	V(b0)	V(b1)	V(b2)	V(b3)	V(b4)	V(b5)	V(b6)	V(b7)	V(b8)	V(b9)	V(b10)	V(b11)	V(b12)	V(b13)	V(b14)	V(b15)	V(f0)	V(f1)	V(f2)	V(f3)	V(f4)	V(f5)	V(f6)	V(f7)	V(f8)	V(f9)	V(f10)	V(f11)	V(f12)	V(f13)	V(f14)	V(f15)	V(s0)	V(s1)
1.800000003814595e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	-8.929254e-003	-8.929254e-003	-8.929254e-003	-8.929254e-003	-8.929254e-003	-8.929254e-003	-8.929254e-003	-8.929254e-003	-8.929254e-003	-8.929254e-003	-8.929254e-003	-8.929254e-003	-8.929254e-003	-8.929254e-003	-8.929254e-003	-8.929254e-003	1.907297e+000	0.000000e+000
1.800000004466122e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	-1.141845e-002	-1.141845e-002	-1.141845e-002	-1.141845e-002	-1.141845e-002	-1.141845e-002	-1.141845e-002	-1.141845e-002	-1.141845e-002	-1.141845e-002	-1.141845e-002	-1.141845e-002	-1.141845e-002	-1.141845e-002	-1.141845e-002	-1.141845e-002	2.233061e+000	0.000000e+000
1.800000004798334e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	-1.197451e-002	-1.197451e-002	-1.197451e-002	-1.197451e-002	-1.197451e-002	-1.197451e-002	-1.197451e-002	-1.197451e-002	-1.197451e-002	-1.197451e-002	-1.197451e-002	-1.197451e-002	-1.197451e-002	-1.197451e-002	-1.197451e-002	-1.197451e-002	2.399167e+000	0.000000e+000
1.800000005345106e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	-1.254371e-002	-1.254371e-002	-1.254371e-002	-1.254371e-002	-1.254371e-002	-1.254371e-002	-1.254371e-002	-1.254371e-002	-1.254371e-002	-1.254371e-002	-1.254371e-002	-1.254371e-002	-1.254371e-002	-1.254371e-002	-1.254371e-002	-1.254371e-002	2.672553e+000	0.000000e+000
1.800000005817302e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	-1.412796e-002	-1.412796e-002	-1.412796e-002	-1.412796e-002	-1.412796e-002	-1.412796e-002	-1.412796e-002	-1.412796e-002	-1.412796e-002	-1.412796e-002	-1.412796e-002	-1.412796e-002	-1.412796e-002	-1.412796e-002	-1.412796e-002	-1.412796e-002	2.908651e+000	0.000000e+000
1.800000006326318e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	-1.482147e-002	-1.482147e-002	-1.482147e-002	-1.482147e-002	-1.482147e-002	-1.482147e-002	-1.482147e-002	-1.482147e-002	-1.482147e-002	-1.482147e-002	-1.482147e-002	-1.482147e-002	-1.482147e-002	-1.482147e-002	-1.482147e-002	-1.482147e-002	3.163159e+000	0.000000e+000
1.800000006931233e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	2.936631e-003	2.936631e-003	2.936631e-003	2.936631e-003	2.936631e-003	2.936631e-003	2.936631e-003	2.936631e-003	2.936631e-003	2.936631e-003	2.936631e-003	2.936631e-003	2.936631e-003	2.936631e-003	2.936631e-003	2.936631e-003	3.465617e+000	0.000000e+000
1.800000007562292e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	7.160616e-002	7.160616e-002	7.160616e-002	7.160616e-002	7.160616e-002	7.160616e-002	7.160616e-002	7.160616e-002	7.160616e-002	7.160616e-002	7.160616e-002	7.160616e-002	7.160616e-002	7.160616e-002	7.160616e-002	7.160616e-002	3.781146e+000	0.000000e+000
1.800000008369699e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	2.563750e-001	2.563750e-001	2.563750e-001	2.563750e-001	2.563750e-001	2.563750e-001	2.563750e-001	2.563750e-001	2.563750e-001	2.563750e-001	2.563750e-001	2.563750e-001	2.563750e-001	2.563750e-001	2.563750e-001	2.563750e-001	4.184849e+000	0.000000e+000
1.800000009102733e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.674162e-001	5.674162e-001	5.674162e-001	5.674162e-001	5.674162e-001	5.674162e-001	5.674162e-001	5.674162e-001	5.674162e-001	5.674162e-001	5.674162e-001	5.674162e-001	5.674162e-001	5.674162e-001	5.674162e-001	5.674162e-001	4.551367e+000	0.000000e+000
